subject_name,course_name,course_url
Art & Design,The New World of Arnold Schönberg's Piano Music,/course/stanford-openedx-the-new-world-of-arnold-schonberg-s-piano-music-17139
Art & Design,Developing Your Musicianship,/course/musicianship-1726
Art & Design,Exploring Beethoven's Piano Sonatas Part 4,/course/exploring-beethoven-piano-sonatas-4-12766
Art & Design,How Music Can Change Your Life,/course/music-life-6634
Art & Design,创作吧！微影人！,/course/wei-dian-ying-chuang-zuo-5611
Art & Design,Applications in Communication Acoustics,/course/edx-applications-in-communication-acoustics-9293
Art & Design,Creatividad computacional,/course/creatividad-computacional-12450
Art & Design,Theories of Media and Technology,/course/edx-theories-of-media-and-technology-13439
Art & Design,Western Music in the 20th Century,/course/edx-western-music-in-the-20th-century-1229
Art & Design,Réalisez vos vidéos 3D-relief !,/course/ionis-realisez-vos-videos-3d-relief-2183
Art & Design,Shakespeare: On the Page and in Performance,/course/edx-shakespeare-on-the-page-and-in-performance-939
Art & Design,SAP's UX Strategy in a Nutshell by Sam Yen,/course/opensap-sap-s-ux-strategy-in-a-nutshell-by-sam-yen-2362
Art & Design,Western and Chinese Art: Masters and Classics,/course/edx-western-and-chinese-art-masters-and-classics-3207
Art & Design,"The Search for Vernacular Architecture of Asia, Part 1",/course/edx-the-search-for-vernacular-architecture-of-asia-part-1-2072
Art & Design,OjaiU 2015: The Beat of the World – The Art of Percussion,/course/independent-ojaiu-2015-the-beat-of-the-world-the-art-of-percussion-3577
Art & Design,Product Design,/course/udacity-product-design-3646
Art & Design,An Unloved Story: Lost In Translation / Her,/course/openlearning-an-unloved-story-lost-in-translation-her-3756
Art & Design,Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work,/course/edx-making-science-and-engineering-pictures-a-practical-guide-to-presenting-your-work-3461
Art & Design,Creating Business Value with User Experience,/course/opensap-creating-business-value-with-user-experience-3511
Art & Design,"DOCUMENTAL! Nuevas tendencias, nuevos formatos",/course/edx-documental-nuevas-tendencias-nuevos-formatos-2150
Art & Design,Innovation Generation: How to Be Creative,/course/edx-innovation-generation-how-to-be-creative-3507
Art & Design,"Art, Communication and Contact Zones",/course/open-education-by-blackboard-art-communication-and-contact-zones-4147
Art & Design,Rapid Prototyping,/course/udacity-rapid-prototyping-4813
Art & Design,Science in Art: The Chemistry of Art Materials and Conservation,/course/edx-science-in-art-the-chemistry-of-art-materials-and-conservation-3591
Art & Design,Software Design for Non-Designers,/course/independent-software-design-for-non-designers-3587
Art & Design,Mobile Application Experiences Part 2: Mobile App Design,/course/edx-mobile-application-experiences-part-2-mobile-app-design-5724
Art & Design,Prototyping Interaction,/course/iversity-prototyping-interaction-3367
Art & Design,The Meaning of Rome: The Renaissance and Baroque City,/course/edx-the-meaning-of-rome-the-renaissance-and-baroque-city-5370
Art & Design,Introduction to Game Design,/course/edx-introduction-to-game-design-2366
Art & Design,Defining the String Quartet: Haydn,/course/stanford-openedx-defining-the-string-quartet-haydn-6348
Art & Design,"Nativi Digitali, una nuova modalità di apprendimento",/course/eduopen-nativi-digitali-una-nuova-modalita-di-apprendimento-7699
Art & Design,Creative Programming with Javascript,/course/kadenze-creative-programming-with-javascript-3769
Art & Design,Il disegno della luce,/course/emma-il-disegno-della-luce-5885
Art & Design,Desenho para Diário Gráfico,/course/iversity-desenho-para-diario-grafico-6171
Art & Design,"Vernacular Architecture of Asia: Tradition, Modernity and Cultural Sustainability",/course/edx-vernacular-architecture-of-asia-tradition-modernity-and-cultural-sustainability-6243
Art & Design,Four Facets of Contemporary Japanese Architecture: Theory,/course/edx-four-facets-of-contemporary-japanese-architecture-theory-5800
Art & Design,"Jazz: The Music, The Stories, The Players",/course/edx-jazz-the-music-the-stories-the-players-4809
Art & Design,Reinventing the Piano,/course/kadenze-reinventing-the-piano-3778
Art & Design,Fashion Style Icons and Design History,/course/kadenze-fashion-style-icons-and-design-history-4099
Art & Design,Foundations of Arts and Entertainment Technologies,/course/kadenze-foundations-of-arts-and-entertainment-technologies-5894
Art & Design,Loop: Repetition and Variation in Music,/course/kadenze-loop-repetition-and-variation-in-music-3779
Art & Design,Introduction to Italian Opera,/course/edx-introduction-to-italian-opera-3840
Art & Design,"Hollywood: History, Industry, Art",/course/edx-hollywood-history-industry-art-5643
Art & Design,Modern Architecture,/course/independent-modern-architecture-7999
Art & Design,日本文化艺术专题 Japanese Culture and Art,/course/edx--japanese-culture-and-art-7819
Art & Design,Inside the Music & Video Tech Industry,/course/kadenze-inside-the-music-video-tech-industry-5327
Art & Design,Generative Art and Computational Creativity,/course/kadenze-generative-art-and-computational-creativity-4094
Art & Design,New York Architecture,/course/independent-new-york-architecture-3572
Art & Design,Contemporary Architecture,/course/independent-contemporary-architecture-2772
Art & Design,Frank Lloyd Wright And The XX Century,/course/independent-frank-lloyd-wright-and-the-xx-century-2775
Art & Design,Principles of Designing for Humans,/course/edx-principles-of-designing-for-humans-6256
Art & Design,Creative Audio Programming on the Raspberry Pi,/course/kadenze-creative-audio-programming-on-the-raspberry-pi-6410
Art & Design,Introduction to Sound and Acoustic Sketching,/course/kadenze-introduction-to-sound-and-acoustic-sketching-3776
Art & Design,Exposing Digital Photography,/course/independent-exposing-digital-photography-8091
Art & Design,History of Chinese Architecture,/course/edx-history-of-chinese-architecture-2474
Art & Design,Stonehenge,/course/iversity-stonehenge-2844
Art & Design,Advanced Generative Art and Computational Creativity,/course/kadenze-advanced-generative-art-and-computational-creativity-7600
Art & Design,Sound Design with Kontakt,/course/kadenze-sound-design-with-kontakt-6802
Art & Design,Evaluating Designs with Users,/course/edx-evaluating-designs-with-users-7240
Art & Design,Touring Modernism ,/course/kadenze-touring-modernism-8408
Art & Design,Surrealism and Its Legacy,/course/kadenze-surrealism-and-its-legacy-8411
Art & Design,"Pop, Minimalism, and Postmodernism",/course/kadenze-pop-minimalism-and-postmodernism-8412
Art & Design,Introduction to German Opera,/course/edx-introduction-to-german-opera-7474
Art & Design,Introduction to 3D Modeling and Animation with Maya: Tradition Meets Technology,/course/kadenze-introduction-to-3d-modeling-and-animation-with-maya-tradition-meets-technology-6801
Art & Design,UX Design: From Concept to Wireframe,/course/edx-ux-design-from-concept-to-wireframe-6254
Art & Design,Human-Computer Interaction,/course/udacity-human-computer-interaction-8567
Art & Design,Kreativní práce s informacemi,/course/independent-kreativni-prace-s-informacemi-8896
Art & Design,การออกแบบภาพประกอบสื่อสําหรับเด็ก,/course/thaimooc------14942
Art & Design,Cardin to Castelbajac: Style in French Fashion,/course/kadenze-cardin-to-castelbajac-style-in-french-fashion-4995
Art & Design,UX Design: From Wireframe to Prototype,/course/edx-ux-design-from-wireframe-to-prototype-6253
Art & Design,Understanding User Needs,/course/edx-understanding-user-needs-6257
Art & Design,Facilitator’s Guide to Human-Centered Design,/course/acumen-facilitator-s-guide-to-human-centered-design-9100
Art & Design,Gaultier to Louboutin: Style & Strategy in French Fashion,/course/kadenze-gaultier-to-louboutin-style-strategy-in-french-fashion-7601
Art & Design,The Modern Music Technologist,/course/kadenze-the-modern-music-technologist-7595
Art & Design,浪漫主义时代的欧洲音乐 European Music in Romantic Period,/course/edx--european-music-in-romantic-period-8911
Art & Design,UX Research at Scale: Analytics and Online Experiments,/course/edx-ux-research-at-scale-analytics-and-online-experiments-6249
Art & Design,The Practical History of Typography,/course/kadenze-the-practical-history-of-typography-7599
Art & Design,Inspirations for Design: A Course on Human-Centered Research,/course/openhpi-inspirations-for-design-a-course-on-human-centered-research-8859
Art & Design,Financial Systems for a Successful Studio,/course/kadenze-financial-systems-for-a-successful-studio-7592
Art & Design,Contemporary Museum Education,/course/kadenze-contemporary-museum-education-4998
Art & Design,เทคโนโลยีการสร้างสรรค์สื่อดิจิทัล | Digital Media Creation Technology,/course/thaimooc---------digital-media-creation-technology-15007
Art & Design,สร้างสรรค์สื่อวีดิทัศน์ยุคใหม่ Creative Video Production,/course/thaimooc----------creative-video-production-15086
Art & Design,การถ่ายภาพเบื้องต้น Basic Photography,/course/thaimooc-----basic-photography-15074
Art & Design,Custom Handlettering,/course/kadenze-custom-handlettering-7614
Art & Design,Iniciación a la Creación Musical en Ableton Live 10,/course/canvas-network-iniciacion-a-la-creacion-musical-en-ableton-live-10-7394
